ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
10522,0,8,4,5,9,30,4,8,10,1,0
1575,0,1,1,0,0,6,0,0,0,0,2
27824,0,0,0,3,3,48,0,2,5,0,0
10553,0,6,3,2,6,17,4,4,8,1,0
27798,0,1,0,2,7,28,0,8,3,0,0
10358,0,2,4,5,6,27,5,3,8,0,0
3850,0,0,0,0,14,38,0,15,17,0,0
15093,0,2,1,2,7,21,7,3,10,1,0
27649,0,0,1,1,1,30,0,3,2,0,0
24076,0,0,2,13,6,42,5,0,17,8,0
1516,0,3,3,0,1,31,0,0,0,0,2
3892,0,0,0,0,21,45,0,25,19,0,0
18382,0,0,0,0,7,67,0,15,0,0,0
565,5,19,0,8,0,66,0,0,9,0,0
18637,0,0,0,0,9,99,0,18,0,0,0
11518,0,3,0,2,7,14,3,5,13,0,0
2965,0,0,0,0,12,33,0,18,14,0,0
3517,0,0,0,0,6,35,0,7,7,0,0
17768,33,24,0,0,0,80,0,0,2,0,0
31597,1,3,0,1,8,52,0,12,15,0,0
15032,0,2,0,7,13,56,10,7,13,3,0
24124,0,0,0,12,8,39,8,0,13,8,0
5224,0,0,0,0,15,72,0,21,20,2,0
5232,0,0,0,0,5,21,0,7,8,0,0
14908,0,1,1,5,9,43,10,0,14,1,0
24118,0,0,1,10,5,39,4,0,10,9,0
31602,1,7,0,1,9,33,0,11,14,0,0
3356,0,0,0,0,10,94,0,10,14,0,0
11276,0,2,0,3,11,24,4,7,9,1,0
3729,0,0,0,0,10,45,0,12,13,0,0
27629,0,2,0,1,9,37,0,14,7,0,0
27624,0,0,0,4,1,56,0,3,7,0,0
27056,0,0,0,0,3,103,0,1,9,0,0
11558,0,1,0,0,3,64,3,2,6,0,0
26768,0,0,0,0,2,60,0,2,4,0,0
18455,0,0,0,0,6,48,0,15,0,0,0
3640,0,0,0,0,8,29,0,8,8,0,0
3565,0,0,0,0,14,52,0,14,14,0,0
584,1,9,0,1,0,42,0,0,4,0,0
11590,0,2,0,2,9,22,6,10,8,0,0
27928,0,0,1,1,4,37,0,9,5,0,0
21268,0,0,0,0,4,32,0,10,1,0,0
27816,1,2,0,1,8,29,0,11,9,0,0
1618,0,3,2,0,0,17,0,0,0,0,3
18420,0,0,0,0,9,127,0,12,0,0,0
3022,0,0,0,0,7,42,0,15,8,0,0
31604,1,1,0,1,4,44,0,10,8,0,0
3802,0,0,0,0,9,52,0,13,14,0,0
17767,9,6,0,0,0,50,0,0,2,0,0
1546,0,4,3,0,0,14,0,0,0,0,5
26586,0,0,0,0,4,111,0,0,17,0,0
14929,0,9,0,0,7,57,7,0,16,10,0
11240,0,7,1,4,9,35,8,7,12,1,0
2996,0,0,0,0,9,30,0,7,10,0,0
21320,0,0,0,0,0,45,0,22,4,0,0
22432,0,0,0,0,6,89,0,0,0,0,0
11385,0,4,0,3,8,48,8,6,10,1,0
3373,0,0,0,0,7,30,0,8,8,0,0
27776,0,1,0,1,5,50,0,10,11,0,0
11262,0,8,1,1,10,25,7,6,9,0,0
31600,1,2,0,1,5,33,0,6,6,0,0
14963,0,6,3,8,10,37,12,6,11,1,0
3330,0,0,0,0,12,34,0,11,12,0,0
3501,0,0,0,0,10,27,0,8,11,0,0
27822,0,0,0,3,10,33,0,12,5,0,0
11421,0,8,0,4,8,24,8,7,7,0,0
11532,0,8,0,2,4,23,6,4,8,0,0
21305,0,0,0,0,5,69,0,31,12,0,0
21284,0,0,0,0,9,92,0,28,1,0,0
27821,0,0,0,1,4,31,0,8,7,0,0
27744,0,0,0,1,3,45,0,3,5,0,0
27016,0,0,0,0,2,81,0,3,4,0,0
3829,0,0,0,0,15,70,0,13,20,0,0
558,1,8,0,1,0,28,0,0,4,0,0
2934,0,0,0,0,11,56,0,15,14,0,0
11289,0,9,0,1,3,29,2,0,4,0,0
11344,0,4,0,4,8,32,10,2,11,0,0
2909,0,0,0,0,9,24,0,9,12,0,0
22120,0,0,0,0,6,83,0,0,0,0,0
15002,0,4,2,4,1,33,5,0,10,0,0
27690,0,1,1,1,3,52,0,6,8,0,0
11522,0,2,0,3,7,20,4,6,11,2,0
24074,0,0,0,5,6,41,6,0,13,15,0
