,ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
160,5120,0.00000,0.00000,0.00000,0.00000,0.36000,1.00000,0.00000,0.40000,0.40000,0.00000,0.00000
161,6522,0.00000,0.00000,0.00000,0.00000,0.42857,1.00000,0.00000,0.31429,0.40000,0.05714,0.00000
162,5541,0.00000,0.00000,0.00000,0.00000,0.22034,1.00000,0.00000,0.30508,0.40678,0.00000,0.00000
163,12080,0.00000,0.16667,0.03333,0.16667,0.20000,1.00000,0.30000,0.16667,0.26667,0.00000,0.00000
164,27880,0.00000,0.00000,0.00000,0.00000,0.02655,1.00000,0.00000,0.00885,0.07080,0.00000,0.00000
165,22441,0.00000,0.00000,0.00000,0.00000,0.04878,1.00000,0.00000,0.28049,0.02439,0.00000,0.00000
166,25639,0.00000,0.03704,0.00000,0.22222,0.25926,1.00000,0.14815,0.00000,0.25926,0.44444,0.00000
167,550,0.06061,0.13636,0.00000,0.07576,0.00000,1.00000,0.00000,0.00000,0.09091,0.00000,0.00000
168,15259,0.00000,0.27273,0.18182,0.31818,0.13636,1.00000,0.27273,0.00000,0.27273,0.00000,0.00000
169,29550,0.00000,0.00000,0.00000,0.06250,0.04167,1.00000,0.00000,0.05208,0.06250,0.00000,0.00000
170,29631,0.00000,0.04630,0.00000,0.00000,0.00000,1.00000,0.00000,0.02778,0.00000,0.00000,0.00000
171,15342,0.00000,0.10256,0.05128,0.07692,0.10256,1.00000,0.12821,0.00000,0.10256,0.07692,0.00000
172,1557,0.00000,0.16216,0.21622,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.18919
173,1516,0.00000,0.09091,0.09091,0.00000,0.02273,1.00000,0.00000,0.00000,0.00000,0.00000,0.06818
174,23339,0.00000,0.00000,0.14815,0.37037,0.18519,1.00000,0.07407,0.00000,0.33333,0.03704,0.00000
175,25615,0.00000,0.03571,0.00000,0.08929,0.07143,1.00000,0.08929,0.01786,0.14286,0.19643,0.00000
176,5245,0.00000,0.00000,0.00000,0.00000,0.34483,1.00000,0.00000,0.24138,0.24138,0.00000,0.00000
177,27833,0.00000,0.00000,0.00000,0.00000,0.06122,1.00000,0.00000,0.08163,0.14286,0.00000,0.00000
178,11630,0.00000,0.05263,0.00000,0.00000,0.13158,1.00000,0.10526,0.10526,0.23684,0.00000,0.00000
179,23513,0.00000,0.00000,0.00000,0.29730,0.08108,1.00000,0.08108,0.00000,0.27027,0.27027,0.00000
180,27964,0.00000,0.00000,0.00000,0.00000,0.04000,1.00000,0.00000,0.10000,0.14000,0.00000,0.00000
181,23375,0.00000,0.00000,0.00000,0.26829,0.08537,1.00000,0.00000,0.00000,0.15854,0.15854,0.00000
182,15295,0.00000,0.00000,0.04444,0.13333,0.08889,1.00000,0.13333,0.00000,0.06667,0.00000,0.00000
183,1567,0.00000,0.05263,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.05263
184,27943,0.00000,0.00000,0.00000,0.00000,0.02381,1.00000,0.00000,0.02381,0.01190,0.00000,0.00000
185,19414,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.01333,0.00000,0.00000,0.00000
186,17009,0.15584,0.10390,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.02597,0.00000,0.00000
